sequence,heads,kv_heads,head_dim,strategy,qtile,kvtile,temporary_bytes,bytes_read,bytes_written,arithmetic_intensity,qk_tiles,skipped_causal_tiles,score_evaluations,exp_evaluations,reduction_operations,l2_traffic,llc_traffic,l2_hit_rate,llc_hit_rate
128,8,8,64,materialized,32,32,1048576,1.83501e+06,1.31072e+06,5.375,80,48,66048,70144,132096,4.1943e+06,3.14573e+06,0.25,0
128,8,8,64,tiled-materialized,32,64,1048576,1.83501e+06,1.31072e+06,5.375,48,16,66048,68096,132096,4.1943e+06,3.14573e+06,0.25,0
128,8,8,64,io-aware,32,64,133120,786432,262144,16.125,48,16,66048,68096,132096,2.62144e+06,1.04858e+06,0.6,0
128,8,8,64,auto-io-aware,32,32,100352,786432,262144,16.125,80,48,66048,70144,132096,2.62144e+06,1.04858e+06,0.6,0
256,8,8,64,materialized,32,32,4194304,5.76717e+06,4.71859e+06,6.425,288,224,263168,279552,526336,1.46801e+07,1.04858e+07,0.285714,0
256,8,8,64,tiled-materialized,32,64,4194304,5.76717e+06,4.71859e+06,6.425,160,96,263168,271360,526336,1.46801e+07,1.04858e+07,0.285714,0
256,8,8,64,io-aware,32,64,133120,1.57286e+06,524288,32.125,160,96,263168,271360,526336,9.43718e+06,2.09715e+06,0.777778,0
256,8,8,64,auto-io-aware,32,32,100352,1.57286e+06,524288,32.125,288,224,263168,279552,526336,9.43718e+06,2.09715e+06,0.777778,0
512,8,8,64,materialized,32,32,16777216,1.99229e+07,1.78258e+07,7.125,1088,960,1.05062e+06,1.11616e+06,2.10125e+06,5.4526e+07,3.77487e+07,0.307692,0
512,8,8,64,tiled-materialized,32,64,16777216,1.99229e+07,1.78258e+07,7.125,576,448,1.05062e+06,1.08339e+06,2.10125e+06,5.4526e+07,3.77487e+07,0.307692,0
512,8,8,64,io-aware,32,64,133120,3.14573e+06,1.04858e+06,64.125,576,448,1.05062e+06,1.08339e+06,2.10125e+06,3.56516e+07,4.1943e+06,0.882353,0
512,8,8,64,auto-io-aware,32,32,100352,3.14573e+06,1.04858e+06,64.125,1088,960,1.05062e+06,1.11616e+06,2.10125e+06,3.56516e+07,4.1943e+06,0.882353,0
1024,8,8,64,materialized,32,32,67108864,7.34003e+07,6.9206e+07,7.53676,4224,3968,4.1984e+06,4.46054e+06,8.3968e+06,2.09715e+08,1.42606e+08,0.32,0
1024,8,8,64,tiled-materialized,32,64,67108864,7.34003e+07,6.9206e+07,7.53676,2176,1920,4.1984e+06,4.32947e+06,8.3968e+06,2.09715e+08,1.42606e+08,0.32,0
1024,8,8,64,io-aware,32,64,133120,6.29146e+06,2.09715e+06,128.125,2176,1920,4.1984e+06,4.32947e+06,8.3968e+06,1.38412e+08,8.38861e+06,0.939394,0
1024,8,8,64,auto-io-aware,32,32,100352,6.29146e+06,2.09715e+06,128.125,4224,3968,4.1984e+06,4.46054e+06,8.3968e+06,1.38412e+08,8.38861e+06,0.939394,0
2048,8,8,64,materialized,32,32,268435456,2.81018e+08,2.7263e+08,7.76136,16640,16128,1.67854e+07,1.7834e+07,3.35708e+07,8.22084e+08,5.53648e+08,0.326531,0
2048,8,8,64,tiled-materialized,32,64,268435456,2.81018e+08,2.7263e+08,7.76136,8448,7936,1.67854e+07,1.73097e+07,3.35708e+07,8.22084e+08,5.53648e+08,0.326531,0
2048,8,8,64,io-aware,32,64,133120,1.25829e+07,4.1943e+06,256.125,8448,7936,1.67854e+07,1.73097e+07,3.35708e+07,5.4526e+08,1.67772e+07,0.969231,0
2048,8,8,64,auto-io-aware,32,32,100352,1.25829e+07,4.1943e+06,256.125,16640,16128,1.67854e+07,1.7834e+07,3.35708e+07,5.4526e+08,1.67772e+07,0.969231,0
4096,8,8,64,materialized,32,32,1073741824,1.09891e+09,1.08213e+09,7.87885,66048,65024,6.71252e+07,7.13196e+07,1.3425e+08,3.25478e+09,2.18104e+09,0.329897,0
4096,8,8,64,tiled-materialized,32,64,1073741824,1.09891e+09,1.08213e+09,7.87885,33280,32256,6.71252e+07,6.92224e+07,1.3425e+08,3.25478e+09,2.18104e+09,0.329897,0
4096,8,8,64,io-aware,32,64,133120,2.51658e+07,8.38861e+06,512.125,33280,32256,6.71252e+07,6.92224e+07,1.3425e+08,2.16426e+09,3.35544e+07,0.984496,0
4096,8,8,64,auto-io-aware,32,32,100352,2.51658e+07,8.38861e+06,512.125,66048,65024,6.71252e+07,7.13196e+07,1.3425e+08,2.16426e+09,3.35544e+07,0.984496,0
128,8,8,128,materialized,16,32,1048576,2.62144e+06,1.57286e+06,8.0625,160,96,66048,70144,132096,5.24288e+06,4.1943e+06,0.2,0
128,8,8,128,tiled-materialized,32,64,1048576,2.62144e+06,1.57286e+06,8.0625,48,16,66048,68096,132096,5.24288e+06,4.1943e+06,0.2,0
128,8,8,128,io-aware,32,64,198656,1.57286e+06,524288,16.125,48,16,66048,68096,132096,5.24288e+06,2.09715e+06,0.6,0
128,8,8,128,auto-io-aware,16,32,82944,1.57286e+06,524288,16.125,160,96,66048,70144,132096,9.43718e+06,2.09715e+06,0.777778,0
256,8,8,128,materialized,16,32,4194304,7.34003e+06,5.24288e+06,10.7083,576,448,263168,279552,526336,1.67772e+07,1.25829e+07,0.25,0
256,8,8,128,tiled-materialized,32,64,4194304,7.34003e+06,5.24288e+06,10.7083,160,96,263168,271360,526336,1.67772e+07,1.25829e+07,0.25,0
256,8,8,128,io-aware,32,64,198656,3.14573e+06,1.04858e+06,32.125,160,96,263168,271360,526336,1.88744e+07,4.1943e+06,0.777778,0
256,8,8,128,auto-io-aware,16,32,82944,3.14573e+06,1.04858e+06,32.125,576,448,263168,279552,526336,3.56516e+07,4.1943e+06,0.882353,0
512,8,8,128,materialized,16,32,16777216,2.30687e+07,1.88744e+07,12.825,2176,1920,1.05062e+06,1.11616e+06,2.10125e+06,5.87203e+07,4.1943e+07,0.285714,0
512,8,8,128,tiled-materialized,32,64,16777216,2.30687e+07,1.88744e+07,12.825,576,448,1.05062e+06,1.08339e+06,2.10125e+06,5.87203e+07,4.1943e+07,0.285714,0
512,8,8,128,io-aware,32,64,198656,6.29146e+06,2.09715e+06,64.125,576,448,1.05062e+06,1.08339e+06,2.10125e+06,7.13032e+07,8.38861e+06,0.882353,0
512,8,8,128,auto-io-aware,16,32,82944,6.29146e+06,2.09715e+06,64.125,2176,1920,1.05062e+06,1.11616e+06,2.10125e+06,1.38412e+08,8.38861e+06,0.939394,0
1024,8,8,128,materialized,16,32,67108864,7.96918e+07,7.13032e+07,14.2361,8448,7936,4.1984e+06,4.46054e+06,8.3968e+06,2.18104e+08,1.50995e+08,0.307692,0
1024,8,8,128,tiled-materialized,32,64,67108864,7.96918e+07,7.13032e+07,14.2361,2176,1920,4.1984e+06,4.32947e+06,8.3968e+06,2.18104e+08,1.50995e+08,0.307692,0
1024,8,8,128,io-aware,32,64,198656,1.25829e+07,4.1943e+06,128.125,2176,1920,4.1984e+06,4.32947e+06,8.3968e+06,2.76824e+08,1.67772e+07,0.939394,0
1024,8,8,128,auto-io-aware,16,32,82944,1.25829e+07,4.1943e+06,128.125,8448,7936,4.1984e+06,4.46054e+06,8.3968e+06,5.4526e+08,1.67772e+07,0.969231,0
2048,8,8,128,materialized,16,32,268435456,2.93601e+08,2.76824e+08,15.0662,33280,32256,1.67854e+07,1.7834e+07,3.35708e+07,8.38861e+08,5.70425e+08,0.32,0
2048,8,8,128,tiled-materialized,32,64,268435456,2.93601e+08,2.76824e+08,15.0662,8448,7936,1.67854e+07,1.73097e+07,3.35708e+07,8.38861e+08,5.70425e+08,0.32,0
2048,8,8,128,io-aware,32,64,198656,2.51658e+07,8.38861e+06,256.125,8448,7936,1.67854e+07,1.73097e+07,3.35708e+07,1.09052e+09,3.35544e+07,0.969231,0
