sequence,heads,head_dim,causal,strategy,qtile,kvtile,p50_ms,p95_ms,temporary_bytes,bytes_read,bytes_written,arithmetic_intensity,max_error
128,8,64,1,materialized,32,32,1.06668,1.20168,1048576,1.83501e+06,1.31072e+06,5.375,2.98023e-08
128,8,64,1,tiled-materialized,32,32,0.951924,1.09955,1048576,1.83501e+06,1.31072e+06,5.375,2.98023e-08
128,8,64,1,io-aware,32,32,0.267436,0.283699,100352,786432,262144,16.125,2.6077e-08
128,8,64,1,auto-io-aware,32,64,0.244326,0.299207,133120,786432,262144,16.125,1.67638e-08
256,8,64,1,materialized,32,32,4.49607,4.61526,4194304,5.76717e+06,4.71859e+06,6.425,3.72529e-08
256,8,64,1,tiled-materialized,32,32,4.43866,4.50352,4194304,5.76717e+06,4.71859e+06,6.425,3.72529e-08
256,8,64,1,io-aware,32,32,0.798941,0.90178,100352,1.57286e+06,524288,32.125,2.98023e-08
256,8,64,1,auto-io-aware,16,32,0.802849,0.884575,50176,1.57286e+06,524288,32.125,2.98023e-08
512,8,64,1,materialized,32,32,18.9291,21.7342,16777216,1.99229e+07,1.78258e+07,7.125,4.47035e-08
512,8,64,1,tiled-materialized,32,32,18.2308,22.7122,16777216,1.99229e+07,1.78258e+07,7.125,4.47035e-08
512,8,64,1,io-aware,32,32,3.14824,3.25777,100352,3.14573e+06,1.04858e+06,64.125,3.72529e-08
512,8,64,1,auto-io-aware,16,32,2.94657,2.98872,50176,3.14573e+06,1.04858e+06,64.125,3.72529e-08
