profile,candidate,selected,measured,latency_ms,analytical_score,workspace_bytes,materialization_bytes,layout,schedule,placement,materialize,reuse,threads,attention
tiny-prefill-s128,0,1,1,3.698124,14.570483,2375680,262144,head_major,latency,compact,1,1,20,auto-io-aware
tiny-prefill-s128,1,0,1,4.228643,2.320483,2113536,0,head_major,throughput,spread,0,1,20,io-aware
tiny-prefill-s128,2,0,1,5.532857,2.595734,2113536,0,head_major,throughput,spread,0,1,20,tiled-materialized
tiny-prefill-s128,3,0,1,4.209181,2.620483,2113536,0,head_major,throughput,spread,0,1,8,io-aware
tiny-prefill-s128,4,0,1,5.375930,2.895734,2113536,0,head_major,throughput,spread,0,1,8,tiled-materialized
tiny-prefill-s128,5,0,1,5.742115,3.120483,2113536,0,head_major,throughput,spread,0,1,4,io-aware
tiny-prefill-s128,6,0,1,6.591836,3.395734,2113536,0,head_major,throughput,spread,0,1,4,tiled-materialized
tiny-prefill-s128,7,0,0,0.000000,4.434740,4330496,0,head_major,throughput,spread,0,0,20,io-aware
tiny-prefill-s128,8,0,0,0.000000,4.591186,4179968,0,head_major,throughput,spread,0,0,8,io-aware
tiny-prefill-s128,9,0,0,0.000000,5.043334,4129792,0,head_major,throughput,spread,0,0,4,io-aware
tiny-prefill-s128,10,0,0,0.000000,5.470734,5128192,0,head_major,throughput,spread,0,0,20,tiled-materialized
tiny-prefill-s128,11,0,0,0.000000,5.770734,5128192,0,head_major,throughput,spread,0,0,8,tiled-materialized
tiny-prefill-s128,12,0,0,0.000000,6.120483,2113536,0,head_major,throughput,spread,0,1,2,io-aware
tiny-prefill-s128,13,0,0,0.000000,6.270734,5128192,0,head_major,throughput,spread,0,0,4,tiled-materialized
tiny-prefill-s128,14,0,0,0.000000,6.395734,2113536,0,head_major,throughput,spread,0,1,2,tiled-materialized
tiny-prefill-s128,15,0,0,0.000000,6.570483,2375680,262144,head_major,throughput,spread,1,1,20,io-aware
tiny-prefill-s128,16,0,0,0.000000,6.845734,2375680,262144,head_major,throughput,spread,1,1,20,tiled-materialized
tiny-prefill-s128,17,0,0,0.000000,6.870483,2375680,262144,head_major,throughput,spread,1,1,8,io-aware
tiny-prefill-s128,18,0,0,0.000000,7.145734,2375680,262144,head_major,throughput,spread,1,1,8,tiled-materialized
tiny-prefill-s128,19,0,0,0.000000,7.370483,2375680,262144,head_major,throughput,spread,1,1,4,io-aware
tiny-prefill-s128,20,0,0,0.000000,7.645734,2375680,262144,head_major,throughput,spread,1,1,4,tiled-materialized
