profile,evidence,ffn,batch,sequence,context,hidden,intermediate,q_heads,kv_heads,head_dim,experts,top_k,routing,estimated_flops,weight_bytes,activation_bytes,latency_ms,attention_ms,attention_pct,projection_ms,projection_pct,norm_rope_ms,norm_rope_pct,ffn_ms,ffn_pct,residual_ms,residual_pct,dispatch_ms,dispatch_pct,tokens_per_second,workspace_bytes,compile_ms,llvm_compile_ms,memory_planning_ms,memory_planning_pct,optimizer_baseline_ms,optimizer_speedup,hardware_measurements,max_error,selected_policy,note
tiny-prefill-s128,measured,dense,1,128,0,512,1376,8,2,64,4,2,uniform,742391808,11075584,3686400,3.752511,0.470353,12.534354,0.654079,17.430435,0.491628,13.101307,2.103540,56.056864,0.031727,0.845487,0.001184,0.031552,34110.492947,2375680,191.198601,182.740279,0.000050,0.000026,0.000000,1.000000,0,0.000074,,
tiny-prefill-s512,compile-only,dense,1,512,0,512,1376,8,2,64,4,2,uniform,3372220416,11075584,14745600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9502720,0.539128,0.000000,0.000134,0.024855,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
tiny-prefill-s2048,compile-only,dense,1,2048,0,512,1376,8,2,64,4,2,uniform,19931332608,11075584,58982400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38010880,0.262174,0.000000,0.000123,0.046915,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
tiny-decode-kv128,measured,dense,1,1,128,512,1376,8,2,64,4,2,uniform,5799936,11075584,28800,1.238098,0.328888,26.563972,0.166738,13.467270,0.003049,0.246265,0.715409,57.782906,0.000233,0.018819,0.023781,1.920769,807.690506,18560,35.298226,23.698880,0.000265,0.000751,0.000000,1.000000,0,0.000019,,
tiny-decode-kv512,measured,dense,1,1,512,512,1376,8,2,64,4,2,uniform,6586368,11075584,28800,1.443044,0.394612,27.345805,0.182743,12.663716,0.004087,0.283221,0.752165,52.123497,0.000203,0.014067,0.109234,7.569693,692.979563,18560,7.164252,0.000000,0.000133,0.001856,0.000000,1.000000,0,0.000012,,
tiny-decode-kv2048,measured,dense,1,1,2048,512,1376,8,2,64,4,2,uniform,9732096,11075584,28800,1.832853,0.680153,37.108977,0.189176,10.321395,0.003420,0.186594,0.715784,39.052996,0.000159,0.008675,0.244161,13.321363,545.597492,35840,28.003402,21.101029,0.000253,0.000903,0.000000,1.000000,0,0.000017,,
tiny-decode-kv4096,measured,dense,1,1,4096,512,1376,8,2,64,4,2,uniform,13926400,11075584,28800,2.404320,0.926535,38.536260,0.214669,8.928470,0.004325,0.179885,0.664068,27.619784,0.000240,0.009982,0.594483,24.725619,415.918014,44288,6.960763,0.000000,0.000048,0.000690,0.000000,1.000000,0,0.000015,,
medium-prefill-s128,compile-only,dense,1,128,0,1024,2816,16,4,64,4,2,uniform,2952790016,45088768,7471104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4849664,0.332919,0.000000,0.000253,0.075994,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
medium-prefill-s512,compile-only,dense,1,512,0,1024,2816,16,4,64,4,2,uniform,12616466432,45088768,29884416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19398656,0.162933,0.000000,0.000018,0.011047,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
medium-prefill-s2048,compile-only,dense,1,2048,0,1024,2816,16,4,64,4,2,uniform,63350767616,45088768,119537664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77594624,0.106127,0.000000,0.000020,0.018845,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
medium-decode-kv128,measured,dense,1,1,128,1024,2816,16,4,64,4,2,uniform,23068672,45088768,58368,9.008456,0.447455,4.967055,1.223278,13.579219,0.008940,0.099240,7.252065,80.502863,0.000559,0.006205,0.076159,0.845417,111.006814,37888,38.897166,0.000000,0.000103,0.000265,0.000000,1.000000,0,0.000084,,
medium-decode-kv512,measured,dense,1,1,512,1024,2816,16,4,64,4,2,uniform,24641536,45088768,58368,11.717516,0.564682,4.819127,1.414415,12.070946,0.009788,0.083533,9.554733,81.542308,0.000837,0.007143,0.173061,1.476943,85.342320,37888,30.771750,0.000000,0.000198,0.000643,0.000000,1.000000,0,0.000084,,
medium-decode-kv2048,measured,dense,1,1,2048,1024,2816,16,4,64,4,2,uniform,30932992,45088768,58368,10.054674,1.025480,10.199038,1.249397,12.426032,0.007688,0.076462,7.129864,70.910942,0.000640,0.006365,0.641605,6.381162,99.456233,71680,30.677844,0.000000,0.000246,0.000802,0.000000,1.000000,0,0.000061,,
medium-decode-kv4096,measured,dense,1,1,4096,1024,2816,16,4,64,4,2,uniform,39321600,45088768,58368,12.816604,1.697439,13.244062,1.428057,11.142242,0.008725,0.068076,8.030914,62.660234,0.000806,0.006289,1.650663,12.879098,78.023789,88576,31.640767,0.000000,0.000211,0.000667,0.000000,1.000000,0,0.000069,,
large-prefill-s128,compile-only,dense,1,128,0,4096,11008,32,8,128,4,2,uniform,45634027520,708837376,29491200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19005440,154.153961,153.861815,0.000038,0.000025,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
large-prefill-s512,compile-only,dense,1,512,0,4096,11008,32,8,128,4,2,uniform,185757335552,708837376,117964800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76021760,4.140440,0.000000,0.000111,0.002681,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
large-prefill-s2048,compile-only,dense,1,2048,0,4096,11008,32,8,128,4,2,uniform,794568949760,708837376,471859200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,304087040,0.166262,0.000000,0.000023,0.013834,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
large-decode-kv128,compile-only,dense,1,1,128,4096,11008,32,8,128,4,2,uniform,356515840,708837376,230400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,148480,21.273679,21.134683,0.000167,0.000785,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
large-decode-kv512,compile-only,dense,1,1,512,4096,11008,32,8,128,4,2,uniform,362807296,708837376,230400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,148480,0.140164,0.000000,0.000050,0.035672,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
large-decode-kv2048,compile-only,dense,1,1,2048,4096,11008,32,8,128,4,2,uniform,387973120,708837376,230400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,282624,19.791677,19.609179,0.000035,0.000177,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
large-decode-kv4096,compile-only,dense,1,1,4096,4096,11008,32,8,128,4,2,uniform,421527552,708837376,230400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,349184,0.164756,0.000000,0.000041,0.024885,0.000000,1.000000,0,0.000000,,exceeds real-execution FLOP or weight-memory budget
tiny-moe-uniform,measured,moe,1,32,0,512,1376,8,2,64,8,2,uniform,314572800,70270976,921600,8.509133,0.223155,2.622535,0.617750,7.259847,0.126982,1.492302,7.517737,88.349036,0.008498,0.099869,0.015011,0.176410,3760.665158,1098532,503.358040,480.548192,0.000132,0.000026,0.000000,1.000000,0,0.000092,,
tiny-moe-moderate-skew,measured,moe,1,32,0,512,1376,8,2,64,8,2,moderate-skew,314572800,70270976,921600,9.142640,0.117155,1.281413,0.458295,5.012721,0.113891,1.245712,8.435284,92.263110,0.006362,0.069586,0.011653,0.127458,3500.083127,1098532,20.677734,0.000000,0.000148,0.000716,0.000000,1.000000,0,0.000085,,
tiny-moe-heavy-skew,measured,moe,1,32,0,512,1376,8,2,64,16,2,heavy-skew,314572800,137920512,921600,13.444959,0.184927,1.375437,1.010727,7.517516,0.140657,1.046169,12.086762,89.898095,0.006717,0.049959,0.015169,0.112823,2380.074197,1098564,19.654763,0.000000,0.000272,0.001384,0.000000,1.000000,0,0.000076,,
