size,packing,prefetch,unroll,time_ms,gflops,predicted_cycles,max_error
32,0,0,1,0.102129,0.641698,54714,9.53674e-07
32,0,0,4,0.090254,0.726128,54714,9.53674e-07
32,1,0,1,0.098407,0.665969,58278,9.53674e-07
32,1,0,4,0.095725,0.684628,58278,9.53674e-07
32,1,4,1,0.101794,0.64381,72614,9.53674e-07
32,1,4,4,0.097323,0.673387,72614,9.53674e-07
32,2,0,1,0.09912,0.661178,61028,9.53674e-07
32,2,0,4,0.097752,0.670431,61028,9.53674e-07
32,2,4,1,0.096709,0.677662,75364,9.53674e-07
32,2,4,4,0.095945,0.683058,75364,9.53674e-07
64,0,0,1,0.097675,5.36768,416494,1.43051e-06
64,0,0,4,0.09711,5.39891,416494,1.43051e-06
64,1,0,1,0.104755,5.0049,427488,1.43051e-06
64,1,0,4,0.103394,5.07078,427488,1.43051e-06
64,1,4,1,0.104639,5.01045,550722,1.43051e-06
64,1,4,4,0.111412,4.70585,550722,1.43051e-06
64,2,0,1,0.109895,4.77081,438616,1.43051e-06
64,2,0,4,0.099107,5.29012,438616,1.43051e-06
64,2,4,1,0.105567,4.9664,562433,1.43051e-06
64,2,4,4,0.113478,4.62017,562433,1.43051e-06
128,0,0,1,0.138768,30.2253,3.33885e+06,3.33786e-06
128,0,0,4,0.129019,32.5092,3.33885e+06,3.33786e-06
128,1,0,1,0.22469,18.6671,3.42138e+06,3.33786e-06
128,1,0,4,0.217143,19.3159,3.42138e+06,3.33786e-06
128,1,4,1,0.235523,17.8085,4.40992e+06,3.33786e-06
128,1,4,4,0.209305,20.0392,4.40992e+06,3.33786e-06
128,2,0,1,0.229449,18.2799,3.5072e+06,3.33786e-06
128,2,0,4,0.221462,18.9392,3.5072e+06,3.33786e-06
128,2,4,1,0.220328,19.0366,4.49741e+06,3.33786e-06
128,2,4,4,0.221232,18.9588,4.49741e+06,3.33786e-06
256,0,0,1,0.374597,89.5747,2.72596e+07,5.72205e-06
256,0,0,4,0.370863,90.4766,2.72596e+07,5.72205e-06
256,1,0,1,1.1476,29.2387,2.74204e+07,5.72205e-06
256,1,0,4,1.1956,28.065,2.74204e+07,5.72205e-06
256,1,4,1,1.16827,28.7215,3.65952e+07,5.72205e-06
256,1,4,4,1.24882,26.869,3.65952e+07,5.72205e-06
256,2,0,1,1.25101,26.8218,2.81055e+07,5.72205e-06
256,2,0,4,1.46135,22.9612,2.81055e+07,5.72205e-06
256,2,4,1,1.32173,25.3868,3.72787e+07,5.72205e-06
256,2,4,4,1.29109,25.9893,3.72787e+07,5.72205e-06
512,0,0,1,2.51155,106.88,2.23412e+08,9.53674e-06
512,0,0,4,2.42034,110.908,2.23412e+08,9.53674e-06
512,1,0,1,10.1987,26.3206,2.2007e+08,9.53674e-06
512,1,0,4,8.6728,30.9514,2.2007e+08,9.53674e-06
512,1,4,1,8.88876,30.1994,2.94015e+08,9.53674e-06
512,1,4,4,8.94623,30.0054,2.94015e+08,9.53674e-06
512,2,0,1,9.47024,28.3452,2.25493e+08,9.53674e-06
512,2,0,4,9.39343,28.577,2.25493e+08,9.53674e-06
512,2,4,1,10.2887,26.0904,2.98328e+08,9.53674e-06
512,2,4,4,9.5852,28.0052,2.98328e+08,9.53674e-06
