routing,strategy,scheduler,tokens,experts,top_k,tasks,simulated_imbalance,simulated_utilization,p50_ms,p95_ms,dispatch_ms,expert_ms,combine_ms,worker_imbalance,max_error
uniform,independent,fixed-experts,128,8,2,8,0,1,60.6993,61.258,0.052547,60.2804,0.054287,0,5.96046e-07
uniform,independent,work-stealing,128,8,2,8,0,1,61.206,61.2442,0.053943,60.7633,0.054183,0,5.96046e-07
uniform,independent,load-aware-split,128,8,2,19,0,1,83.8276,91.5241,0.066421,83.3299,0.055046,0,5.96046e-07
uniform,grouped,fixed-experts,128,8,2,8,0.40625,0.711111,24.5351,38.1806,0.122702,23.9905,0.066732,0.895788,5.96046e-07
uniform,grouped,work-stealing,128,8,2,8,0.40625,0.711111,28.6983,29.678,0.066668,28.2777,0.053896,1.07749,5.96046e-07
uniform,grouped,load-aware-split,128,8,2,19,0.09375,0.914286,24.838,26.2842,0.065345,24.337,0.070104,0.229283,5.96046e-07
uniform,bucketed-grouped,fixed-experts,128,8,2,8,0.40625,0.711111,21.7811,22.379,0.058645,21.4151,0.054068,0.670507,5.96046e-07
uniform,bucketed-grouped,work-stealing,128,8,2,8,0.40625,0.711111,27.3655,29.2687,0.060057,26.9535,0.056771,1.07683,5.96046e-07
uniform,bucketed-grouped,load-aware-split,128,8,2,19,0.09375,0.914286,31.7144,34.7648,0.069721,31.1602,0.075855,0.218014,5.96046e-07
moderate-skew,independent,fixed-experts,128,8,2,8,0,1,61.2309,61.8329,0.05169,60.7659,0.064606,0,5.96046e-07
moderate-skew,independent,work-stealing,128,8,2,8,0,1,61.0484,63.1992,0.054349,60.5945,0.046211,0,5.96046e-07
moderate-skew,independent,load-aware-split,128,8,2,20,0,1,86.5455,87.1127,0.053928,86.0365,0.079574,0,5.96046e-07
moderate-skew,grouped,fixed-experts,128,8,2,8,0.84375,0.542373,22.8355,27.8202,0.048275,22.5371,0.054939,1.28458,5.96046e-07
moderate-skew,grouped,work-stealing,128,8,2,8,0.84375,0.542373,27.7807,29.3206,0.063419,27.3363,0.057207,1.17481,5.96046e-07
moderate-skew,grouped,load-aware-split,128,8,2,20,0.0625,0.941176,27.6014,30.1682,0.076948,26.9707,0.062965,0.331959,5.96046e-07
moderate-skew,bucketed-grouped,fixed-experts,128,8,2,8,0.84375,0.542373,25.4127,30.3111,0.058104,25.0107,0.06191,1.0774,5.96046e-07
moderate-skew,bucketed-grouped,work-stealing,128,8,2,8,0.84375,0.542373,28.4474,28.9416,0.060956,28.0603,0.047262,1.19232,5.96046e-07
moderate-skew,bucketed-grouped,load-aware-split,128,8,2,20,0.0625,0.941176,28.8796,29.6236,0.079496,28.2987,0.059641,0.285605,5.96046e-07
heavy-skew,independent,fixed-experts,128,8,2,8,0,1,59.1945,61.5943,0.054627,58.7198,0.060321,0,5.36442e-07
heavy-skew,independent,work-stealing,128,8,2,8,0,1,59.8004,62.4051,0.059154,59.2948,0.067176,0,5.36442e-07
heavy-skew,independent,load-aware-split,128,8,2,20,0,1,72.2199,73.1637,0.059343,71.7078,0.055121,0,5.36442e-07
heavy-skew,grouped,fixed-experts,128,8,2,8,2,0.333333,26.7795,34.7877,0.056406,26.4258,0.055843,1.62593,5.36442e-07
heavy-skew,grouped,work-stealing,128,8,2,8,2,0.333333,30.9189,35.153,0.04561,30.5592,0.061093,1.72493,5.36442e-07
heavy-skew,grouped,load-aware-split,128,8,2,20,0,1,20.1125,21.7806,0.062955,19.6253,0.057867,0.361057,5.36442e-07
heavy-skew,bucketed-grouped,fixed-experts,128,8,2,8,2,0.333333,26.7411,36.0435,0.054862,26.4123,0.057705,1.37968,5.36442e-07
heavy-skew,bucketed-grouped,work-stealing,128,8,2,8,2,0.333333,33.4303,33.9973,0.051436,33.1315,0.061504,1.60905,5.36442e-07
heavy-skew,bucketed-grouped,load-aware-split,128,8,2,20,0,1,30.9261,38.1592,0.064786,30.3976,0.079995,0.522579,5.36442e-07
